country,spatial_democracy,pop_prop,region,pop_prop_log,rep_type
Belgium,1,27784.569182389936,Europe,10.232236080191255,Moderate
Belgium,1,28623.17924528302,Europe,10.261972131681835,Moderate
Belgium,1,29559.30188679245,Europe,10.294153757962974,Moderate
Belgium,1,30284.603773584906,Europe,10.318394736073225,Moderate
Belgium,1,30655.584905660377,Europe,10.330570140284225,Moderate
Belgium,1,30921.67610062893,Europe,10.339212708885118,Moderate
Belgium,1,31070.24213836478,Europe,10.344005795673905,Moderate
Belgium,1,31422.611987381704,Europe,10.355283039716,Moderate
Belgium,1,45869.97737556561,Europe,10.733566094361656,Moderate
Belgium,1,46387.85972850679,Europe,10.744793060197459,Moderate
Belgium,1,47415.77375565611,Europe,10.766710231979491,Moderate
Belgium,1,49486.99547511312,Europe,10.809465196365965,Moderate
Belgium,1,53692.07142857143,Europe,10.891020623945826,Moderate
Belgium,1,54952.89047619048,Europe,10.914231560380827,Moderate
Belize,0,6142.7692307692305,Americas,8.723030934247854,Moderate
Belize,0.6666666666666666,7024.461538461538,Americas,8.857153841934919,Moderate
Belize,0,5815.277777777777,Americas,8.668243832991179,Moderate
Belize,0.3333333333333333,6707.555555555556,Americas,8.810989864867873,Moderate
Belize,0.3333333333333333,7243.722222222223,Americas,8.887890472357288,Moderate
Belize,0.3333333333333333,8059,Americas,8.994544758324512,Moderate
Belize,0.3333333333333333,3995.0243902439024,Americas,8.292804963374204,Moderate
Belize,0.6666666666666666,4465.268292682927,Americas,8.404084579452295,Moderate
Belize,0.6666666666666666,4860.619047619048,Americas,8.488921084836202,Moderate
Belize,1,5733.309523809524,Americas,8.654048221300892,Moderate
Belize,1,6660.261904761905,Americas,8.803914087800552,Moderate
Belize,1,7278.295454545455,Americas,8.89265197291634,Moderate
Belize,1,8098.477272727273,Americas,8.99943133196668,Moderate
Belize,0.6666666666666666,8882.09090909091,Americas,9.09179227100468,Moderate
Benin,0,47072.92,Africa,10.759453167737705,Moderate
Benin,0.25,75021.36144578313,Africa,11.225528171242246,Low
Benin,0.5,87007.4578313253,Africa,11.373749116161925,Low
Benin,0.5,101519.80722891567,Africa,11.528009203538119,Low
Benin,0.25,118041.97590361445,Africa,11.678795568188331,Low
Benin,0.5,136875.6746987952,Africa,11.82682830884702,Low
Benin,0.5,157471.9156626506,Africa,11.967002408095114,Low
Bermuda,1,1009.8085106382979,Americas,6.917515998432772,High
Bermuda,1,1109.0212765957447,Americas,7.011233172554738,High
Bermuda,1,1130.404255319149,Americas,7.030330595799847,High
Bermuda,1,1141.9787234042553,Americas,7.040517759047874,High
Bermuda,1,1181.8510638297873,Americas,7.074837186498834,High
Bermuda,1,1224.659574468085,Americas,7.110418185964513,High
Bermuda,1,1266.5106382978724,Americas,7.144020869167899,High
Bermuda,1,1309.5744680851064,Americas,7.177457529902541,High
Bermuda,1,1334.276595744681,Americas,7.196144548119894,High
Bermuda,1,1355.8510638297873,Americas,7.212184627534258,High
Bermuda,1,1350.2978723404256,Americas,7.208080493271781,High
Bermuda,1,1369.8297872340424,Americas,7.222441768208523,High
Bhutan,0.5,9744.888888888889,Asia,9.184498210018157,Moderate
Bhutan,0.5,10286.361111111111,Asia,9.23857413276812,Moderate
Bhutan,0.5,10694.527777777777,Asia,9.277487466991245,Moderate
Bolivia,0.6,40867.420382165605,Americas,10.61808845692907,Moderate
Bolivia,0.8,45414.91719745223,Americas,10.72359590269238,Moderate
Bolivia,0.8,50157.171974522294,Americas,10.82291679362413,Moderate
Bolivia,0.8,54817.36305732484,Americas,10.911762266863379,Moderate
Bolivia,1,59622.63694267516,Americas,10.995790595416597,Moderate
Bolivia,1,64855.700636942674,Americas,11.079920090845595,Low
Bolivia,1,66353.64457831325,Americas,11.102753967842032,Low
Botswana,0,18537.548387096773,Africa,9.827553596670523,Moderate
Botswana,0,12833.347826086956,Africa,9.459802360912605,Moderate
Botswana,0,14125.098039215687,Africa,9.555708496819983,Moderate
Botswana,0,18382.058823529413,Africa,9.819130403974375,Moderate
Botswana,0,21168.77358490566,Africa,9.960282430703314,Moderate
Botswana,0,24635.77358490566,Africa,10.111954876348468,Moderate
Botswana,0.3333333333333333,25404,Africa,10.142661920922865,Moderate
Botswana,0,28430.20338983051,Africa,10.255207358676104,Moderate
Botswana,0,23588.166666666668,Africa,10.068500452835075,Moderate
Botswana,0,20746.030612244896,Africa,9.940110211564043,Moderate
Botswana,0.3333333333333333,22482.377551020407,Africa,10.02048706136087,Moderate
Botswana,0.3333333333333333,24141.775510204083,Africa,10.091699042493794,Moderate
Brazil,0.25,158421.9081632653,Americas,11.973017057910162,Low
Brazil,0.75,184663.58673469388,Americas,12.126290998590244,Low
Brazil,0.75,247291.23175182482,Americas,12.418321996964332,Low
Brazil,0.75,266803.6189624329,Americas,12.49426815725857,Low
Brazil,0.875,272281.26767676766,Americas,12.514590883334684,Low
Brazil,0.625,292960.0707070707,Americas,12.587791601262317,Low
Brazil,0.875,310922.72895622894,Americas,12.647299700342268,Low
Brazil,0.875,326097.5235690236,Americas,12.69495176766401,Low
Brazil,1,339521.09764309763,Americas,12.735291367328712,Low
Brazil,0.75,351280.8787878788,Americas,12.769341406906003,Low
British Virgin Islands,0.6666666666666666,1249.1666666666667,Americas,7.130231941308643,High
British Virgin Islands,1,1325,Americas,7.1891677384203225,High
British Virgin Islands,1,1376.1666666666667,Americas,7.227057135189374,High
British Virgin Islands,0.6666666666666666,1419,Americas,7.257707677160043,High
British Virgin Islands,0.6666666666666666,1515.142857142857,Americas,7.323265008641762,High
British Virgin Islands,1,1236.6666666666667,Americas,7.120174866933371,High
British Virgin Islands,1,1474.3333333333333,Americas,7.295961189200217,High
British Virgin Islands,1,1744.888888888889,Americas,7.464446158620078,High
British Virgin Islands,1,1189.3333333333333,Americas,7.08114820503179,High
British Virgin Islands,1,1349.4,Americas,7.207415328193325,High
British Virgin Islands,1,1577.6666666666667,Americas,7.363702241238139,High
British Virgin Islands,1,1845,Americas,7.520234556474628,High
British Virgin Islands,1,2299.866666666667,Americas,7.740606429222364,High
British Virgin Islands,1,2475.6666666666665,Americas,7.814264999001186,High
Bulgaria,0.75,22055.9125,Europe,10.001335985521298,Moderate
Bulgaria,1,34823.225,Europe,10.458039828217665,Moderate
Bulgaria,1,33335.5,Europe,10.41437817418971,Moderate
Bulgaria,1,32062.708333333332,Europe,10.375448899617812,Moderate
Bulgaria,1,30989.995833333334,Europe,10.341419716329812,Moderate
Bulgaria,1,29906.320833333335,Europe,10.305825136145273,Moderate
Bulgaria,0.75,28890.216666666667,Europe,10.271258293143708,Moderate
Burundi,0,74892.79012345678,Africa,11.223812904838061,Low
Burundi,0,55155.55294117647,Africa,10.917912707576264,Moderate
Canada,1,42508.84864864865,Americas,10.657467536738784,Moderate
Canada,1,48375.10810810811,Americas,10.786740665122519,Moderate
Canada,1,53204.1027027027,Americas,10.881890790828114,Moderate
Canada,1,58103.0406504065,Americas,10.969973276245225,Moderate
Canada,1,62734.37940379404,Americas,11.04666489220079,Low
Canada,1,63394.770025839796,Americas,11.057136645316692,Low
Canada,1,66996.03359173126,Americas,11.112388696497293,Low
Canada,1,69473.6075,Americas,11.148702211228837,Low
Canada,1,73647.8275,Americas,11.207049923831816,Low
Canada,1,76088.18472906404,Americas,11.239648271993676,Low
Canada,1,78547.63438256658,Americas,11.27146052715855,Low
Canada,1,82801.20823244553,Americas,11.32419793244618,Low
Canada,1,87075.62711864407,Americas,11.37453229725988,Low
Canada,1,92425.91283292978,Americas,11.434162660228116,Low
Cayman Islands,0.5,702.3333333333334,Americas,6.55440812513608,High
Cayman Islands,0.5,780.0833333333334,Americas,6.659400751583744,High
